지식등록법령조문일련번호,지식등록법령일련번호,시행일자,조문번호,조문가지번호,조문제목,등록여부,법령지식조문일련번호,조문일련번호
137014,1977,2010-01-01,0002,00,定義,Y,137014,24002755
137018,1977,2010-01-01,0090,00,罰則,Y,137018,24002890
137019,1977,2010-01-01,0083,00,調査등,Y,137019,24002864
137020,1977,2010-01-01,0084,00,救濟命令,Y,137020,24002865
137021,1977,2010-01-01,0085,00,救濟命令의 확정,Y,137021,24002887
137022,1977,2010-01-01,0082,00,救濟申請,Y,137022,24002886
137016,1977,2010-01-01,0080,00,中央勞動委員會의 仲裁,Y,137016,24002883
150636,8427,2010-02-01,0004,00,현직을 가지고 입후보할 수 없는 언론인의 범위,Y,150636,18499611
150575,8403,2010-02-04,0018,00,국유재산의 대부 등,Y,150575,17207180
137707,2016,2010-02-07,0003,00,법률행위에 관한 증서의 장수 등,Y,137707,30135430
150635,8426,2010-02-07,0004,00,서류의 보존 장소 등,Y,150635,15684595
150633,8425,2010-02-07,0030,00,정관의 인증,Y,150633,15790747
150634,8426,2010-02-07,0005,00,서류의 보존 기간,Y,150634,15684605
137705,2016,2010-02-07,0021,00,상법상의 정관 등의 인증,Y,137705,30135480
137706,2016,2010-02-07,0004,00,가액결정의 표준시,Y,137706,30135432
137704,2016,2010-02-07,0002,00,법률행위에 관한 증서 등의 작성에 대한 수수료,Y,137704,30135428
150630,8423,2010-03-03,0014,00,담배판매업 등의 휴업·폐업,Y,150630,25541241
150628,8423,2010-03-03,0007,00,소매인의 지정절차 등,Y,150628,25541222
150629,8423,2010-03-03,0016,00,담배에 관한 광고,Y,150629,25541243
150631,8423,2010-03-03,0011,00,소매인지정의 취소 등,Y,150631,25541228
137657,2013,2010-03-12,0003,00,國ㆍ公有財産의 貸付등,Y,137657,18939586
150585,8408,2010-03-17,0002,00,정의,Y,150585,28269806
150586,8408,2010-03-17,0010,00,벌칙,Y,150586,28269814
150587,8408,2010-03-17,0004,00,특정 사용방법의 금지,Y,150587,28269808
150589,8410,2010-03-17,0009,00,동학농민혁명 기념재단,Y,150589,18915518
150625,8422,2010-03-19,0003,00,신고접수와 신상카드의 작성,Y,150625,18174553
150626,8422,2010-03-19,0005,00,실종아동등의 복귀절차 등,Y,150626,18174590
150627,8422,2010-03-19,0004,00,신상카드의 열람신청,Y,150627,18174573
137165,2003,2010-03-19,0020,00,국유재산 등의 무상대부 등,Y,137165,15794442
137167,2003,2010-03-19,0002,00,정의,Y,137167,15794424
137166,2003,2010-03-19,0007,00,재단의 사업,Y,137166,15794429
137164,2003,2010-03-19,0001,00,목적,Y,137164,15794423
137153,2001,2010-03-24,0004,00,전산정보처리시스템의 운영,Y,137153,18912566
137154,2001,2010-03-24,0005,00,전자문서에 의한 민사소송등의 수행,Y,137154,18912567
137155,2001,2010-03-24,0006,00,사용자등록,Y,137155,18912568
137156,2001,2010-03-24,0014,00,상고심절차에 관한 특례,Y,137156,18912576
137157,2001,2010-03-24,0008,00,문서제출방법,Y,137157,18912570
137158,2001,2010-03-24,0009,00,전자문서의 접수,Y,137158,18912571
137159,2001,2010-03-24,0011,00,전자적 송달 또는 통지,Y,137159,18912573
137161,2001,2010-03-24,0013,00,증거조사에 관한 특례,Y,137161,18912575
137162,2001,2010-03-24,0007,00,전자서명,Y,137162,18912569
137163,2002,2010-03-24,0007,00,금융기관의 고발의무,Y,137163,18912597
137160,2001,2010-03-24,0012,00,전자문서를 출력한 서면에 의한 송달,Y,137160,18912574
150594,8414,2010-03-24,0004,00,원격영상재판의 효과,Y,150594,18912601
150593,8414,2010-03-24,0002,00,정의,Y,150593,18912599
150595,8414,2010-03-24,0003,00,적용 범위,Y,150595,18912600
137152,2001,2010-03-24,0003,00,적용 범위,Y,137152,18912230
137151,2001,2010-03-24,0002,00,정의,Y,137151,18912229
137150,2001,2010-03-24,0001,00,목적,Y,137150,18912228
137109,1995,2010-03-31,0076,00,어음 요건의 흠,Y,137109,28271289
137110,1995,2010-03-31,0031,00,보증의 방식,Y,137110,28271242
137111,1996,2010-03-31,0002,00,정의,Y,137111,18999045
137113,1996,2010-03-31,0007,00,형의 실효,Y,137113,18999051
137114,1996,2010-03-31,0004,00,수형인명표,Y,137114,18999047
137100,1995,2010-03-31,0002,00,어음 요건의 흠,Y,137100,28271210
137105,1995,2010-03-31,0077,00,환어음에 관한 규정의 준용,Y,137105,28271290
137106,1995,2010-03-31,0032,00,보증의 효력,Y,137106,28271243
137108,1995,2010-03-31,0067,00,"등본의 작성, 작성방식 및 효력",Y,137108,28271278
150584,8407,2010-03-31,0021,00,국유재산의 대부 등,Y,150584,18998952
137112,1996,2010-03-31,0008,00,수형인명부 및 수형인명표의 정리,Y,137112,18999052
137107,1995,2010-03-31,0047,00,어음채무자의 합동책임,Y,137107,28271255
137102,1995,2010-03-31,0013,00,배서의 방식,Y,137102,28271222
137098,1994,2010-03-31,0016,00,배서의 방식,Y,137098,23902445
137101,1995,2010-03-31,0004,00,제3자방 지급의 기재,Y,137101,28271212
137099,1994,2010-03-31,0008,00,제3자방 지급 기재,Y,137099,23902436
137103,1995,2010-03-31,0021,00,인수 제시의 자유,Y,137103,28271231
137104,1995,2010-03-31,0030,00,보증의 가능,Y,137104,28271241
150592,8413,2010-04-02,0016,00,국유재산의 무상 대부,Y,150592,15153109
150563,8397,2010-04-14,0021,00,교육ㆍ홍보 등,Y,150563,18289596
150562,8397,2010-04-14,0020,00,지속가능발전 지식ㆍ정보의 보급 등,Y,150562,18289595
150561,8397,2010-04-14,0002,00,정의,Y,150561,18288064
150564,8397,2010-04-14,0022,00,국내외 협력 등,Y,150564,18289597
150579,8406,2010-05-05,0003,00,전자문서에 의한 독촉절차의 수행,Y,150579,18023417
150580,8406,2010-05-05,0005,00,전자문서의 접수,Y,150580,18023419
150582,8406,2010-05-05,0007,00,전자서명,Y,150582,18023421
150583,8406,2010-05-05,0006,00,소송기록의 전자문서화,Y,150583,18023420
150615,8419,2010-05-05,0002,00,인터넷신문,Y,150615,19260434
137097,1993,2010-05-05,0011,00,국ㆍ공유재산의 대부ㆍ사용 등,Y,137097,17870081
150581,8406,2010-05-05,0008,00,전자적 송달,Y,150581,18023422
150632,8424,2010-05-31,0007,00,법률구조 대상자,Y,150632,19532092
150623,8421,2010-06-10,0007,00,참전명예수당 예금계좌 입금 신청 등,Y,150623,19604472
150621,8421,2010-06-10,0010,00,장제보조비 지급신청,Y,150621,19604475
150620,8421,2010-06-10,0004,00,참전사실확인신청서 등,Y,150620,19604469
150619,8421,2010-06-10,0003,00,등록신청,Y,150619,19604468
150617,8420,2010-06-10,0003,00,신상변동신고,Y,150617,19613458
150616,8420,2010-06-10,0004,00,사망일시금 지급신청,Y,150616,19613459
150624,8421,2010-06-10,0005,00,참전유공자증 발급 및 관리,Y,150624,19604470
150618,8421,2010-06-10,0002,00,참전유공자증서,Y,150618,19604467
150622,8421,2010-06-10,0006,00,신상변동의 신고 등,Y,150622,19604471
150588,8409,2010-06-18,0008,00,군복 등의 제조ㆍ판매의 금지,Y,150588,17159412
150600,8417,2010-07-01,0004,00,주거지역 등의 범위,Y,150600,19737105
150611,8418,2010-07-01,0008,00,장애인연금 지급 결정의 통지,Y,150611,19732816
150610,8418,2010-07-01,0006,00,전문기관,Y,150610,19732814
150609,8417,2010-07-01,0011,00,야간 옥외집회의 조건부 허용,Y,150609,19737112
150607,8417,2010-07-01,0015,00,질서유지인의 완장 등의 통일,Y,150607,19737116
150605,8417,2010-07-01,0013,00,질서유지선의 설정ㆍ고지 등,Y,150605,19737114
