번호,법령명,조문명
1306,"장애인고용촉진 및 직업재활법[시행2026. 5. 12.] [법률 제21138호,2025. 11. 16., 일부개정]",제36조의2 부담금 징수에 대한 이의신청
1307,"장애인고용촉진 및 직업재활법[시행2026. 5. 12.] [법률 제21138호,2025. 11. 17., 일부개정]",제43조 한국장애인고용공단의 설립
1308,"장애인고용촉진 및 직업재활법[시행2026. 5. 12.] [법률 제21138호,2025. 11. 18., 일부개정]",제64조 출자 등
1309,"장애인고용촉진 및 직업재활법[시행2026. 5. 12.] [법률 제21138호,2025. 11. 19., 일부개정]",제69조 기금의 재원
1310,"장애인고용촉진 및 직업재활법[시행2026. 5. 12.] [법률 제21138호,2025. 11. 20., 일부개정]",제81조 자료 제공의 요청 등
1311,"장애인고용촉진 및 직업재활법 시행령[시행2026. 5. 12.] [대통령령 제36286호,2026. 4. 28., 일부개정]",제3조 장애인의 기준
1312,"장애인고용촉진 및 직업재활법 시행령[시행2026. 5. 12.] [대통령령 제36286호,2026. 4. 29., 일부개정]",제15조 장애인 직업지도의 지원
1313,"장애인고용촉진 및 직업재활법 시행령[시행2026. 5. 12.] [대통령령 제36286호,2026. 4. 30., 일부개정]",제22조의2 장애인 기능경기 대회의 개최
1314,"장애인고용촉진 및 직업재활법 시행령[시행2026. 5. 12.] [대통령령 제36286호,2026. 4. 31., 일부개정]",제30조 부정 수급금이나 그 밖의 징수금의 반환명령 등
1315,"장애인고용촉진 및 직업재활법 시행령[시행2026. 5. 12.] [대통령령 제36286호,2026. 4. 32., 일부개정]",제32조 포상금의 지급기준
1316,"장애인고용촉진 및 직업재활법 시행령[시행2026. 5. 12.] [대통령령 제36286호,2026. 4. 33., 일부개정]",제42조 체납징수금의 징수 우선순위
1317,"장애인고용촉진 및 직업재활법 시행령[시행2026. 5. 12.] [대통령령 제36286호,2026. 4. 34., 일부개정]",제51조 이전등기
1318,"장애인고용촉진 및 직업재활법 시행령[시행2026. 5. 12.] [대통령령 제36286호,2026. 4. 35., 일부개정]",제64조 업무의 감독
1319,"장애인고용촉진 및 직업재활법 시행령[시행2026. 5. 12.] [대통령령 제36286호,2026. 4. 36., 일부개정]",제71조 기금관리 보조요원
1320,"장애인고용촉진 및 직업재활법 시행령[시행2026. 5. 12.] [대통령령 제36286호,2026. 4. 37., 일부개정]",제81조 경비의 보조
1321,"파견근로자 보호 등에 관한 법률[시행2026. 5. 26.] [법률 제21701호,2026. 5. 26., 일부개정]",제20조 계약의 내용 등
1322,"파견근로자 보호 등에 관한 법률[시행2026. 5. 26.] [법률 제21701호,2026. 5. 27., 일부개정]",제30조 제3장제3절 사용사업주가 마련하여야 할 조치
1323,"파견근로자 보호 등에 관한 법률[시행2026. 5. 26.] [법률 제21701호,2026. 5. 28., 일부개정]",제36조 제4장 보칙
1324,"장애인고용촉진 및 직업재활법[시행2026. 5. 12.] [법률 제21138호,2025. 11. 11., 일부개정]",제12조 직업능력개발훈련
1325,"장애인고용촉진 및 직업재활법[시행2026. 5. 12.] [법률 제21138호,2025. 11. 12., 일부개정]",제15조 취업알선 등
1326,"장애인고용촉진 및 직업재활법[시행2026. 5. 12.] [법률 제21138호,2025. 11. 13., 일부개정]",제17조 자영업 장애인 지원
1327,"장애인고용촉진 및 직업재활법[시행2026. 5. 12.] [법률 제21138호,2025. 11. 14., 일부개정]",제22조의2 지주회사 등의 행위제한 등에 대한 특례
1328,"장애인고용촉진 및 직업재활법[시행2026. 5. 12.] [법률 제21138호,2025. 11. 15., 일부개정]",제26조의2 제2장의2 장애인 기능경기 대회 개최 등
1329,"장애인고용촉진 및 직업재활법[시행2026. 5. 12.] [법률 제21138호,2025. 11. 16., 일부개정]",제33조의2 신용카드등으로 하는 부담금등의 납부
1330,"장애인고용촉진 및 직업재활법[시행2026. 5. 12.] [법률 제21138호,2025. 11. 17., 일부개정]",제36조 통지
1331,"장애인고용촉진 및 직업재활법[시행2026. 5. 12.] [법률 제21138호,2025. 11. 18., 일부개정]",제44조 법인격
1332,"장애인고용촉진 및 직업재활법[시행2026. 5. 12.] [법률 제21138호,2025. 11. 19., 일부개정]",제50조 임원의 직무
1333,"장애인고용촉진 및 직업재활법[시행2026. 5. 12.] [법률 제21138호,2025. 11. 20., 일부개정]",제59조 
1334,"장애인고용촉진 및 직업재활법[시행2026. 5. 12.] [법률 제21138호,2025. 11. 21., 일부개정]",제72조 기금의 운용ㆍ관리
1335,"장애인고용촉진 및 직업재활법[시행2026. 5. 12.] [법률 제21138호,2025. 11. 22., 일부개정]",제80조 협조
1336,"장애인고용촉진 및 직업재활법[시행2026. 5. 12.] [법률 제21138호,2025. 11. 23., 일부개정]",제83조 다른 법률과의 관계
1337,"장애인고용촉진 및 직업재활법 시행령[시행2026. 5. 12.] [대통령령 제36286호,2026. 4. 28., 일부개정]",제8조 
1338,"장애인고용촉진 및 직업재활법 시행령[시행2026. 5. 12.] [대통령령 제36286호,2026. 4. 28., 일부개정]",제18조 지원고용의 실시ㆍ지원
1339,"장애인고용촉진 및 직업재활법 시행령[시행2026. 5. 12.] [대통령령 제36286호,2026. 4. 28., 일부개정]",제31조 고용장려금 부정수급자에 대한 신고 등
1340,"장애인고용촉진 및 직업재활법 시행령[시행2026. 5. 12.] [대통령령 제36286호,2026. 4. 28., 일부개정]",제41조 가산금 및 연체금 징수의 예외
1341,"장애인고용촉진 및 직업재활법 시행령[시행2026. 5. 12.] [대통령령 제36286호,2026. 4. 28., 일부개정]",제54조 등기기간의 기산
1342,"장애인고용촉진 및 직업재활법 시행령[시행2026. 5. 12.] [대통령령 제36286호,2026. 4. 28., 일부개정]",제66조 정부 외의 자로부터의 출연금 등
1343,"장애인고용촉진 및 직업재활법 시행령[시행2026. 5. 12.] [대통령령 제36286호,2026. 4. 28., 일부개정]",제83조 과태료의 부과기준
1344,"파견근로자 보호 등에 관한 법률[시행2026. 5. 26.] [법률 제21701호,2026. 5. 26., 일부개정]",제3조 정부의 책무
1345,"파견근로자 보호 등에 관한 법률[시행2026. 5. 26.] [법률 제21701호,2026. 5. 26., 일부개정]",제16조 근로자파견의 제한
1346,"파견근로자 보호 등에 관한 법률[시행2026. 5. 26.] [법률 제21701호,2026. 5. 26., 일부개정]",제24조 파견근로자에 대한 고지 의무
1347,"파견근로자 보호 등에 관한 법률[시행2026. 5. 26.] [법률 제21701호,2026. 5. 26., 일부개정]",제35조 「산업안전보건법」의 적용에 관한 특례
1348,"파견근로자 보호 등에 관한 법률[시행2026. 5. 26.] [법률 제21701호,2026. 5. 26., 일부개정]",제46조 과태료
1349,"공무직위원회 설치 및 운영에 관한 법률[시행2026. 9. 18.] [법률 제21474호,2026. 3. 17., 제정]",제8조 회의
1350,"공무직위원회 설치 및 운영에 관한 법률[시행2026. 9. 18.] [법률 제21474호,2026. 3. 17., 제정]",제11조 공무원 등의 파견 요청 등
1351,"청년고용촉진 특별법[시행2026. 9. 18.] [법률 제21477호,2026. 3. 17., 일부개정]",제5조 공공기관의 청년 미취업자 고용 의무
1352,"공무직위원회 설치 및 운영에 관한 법률[시행2026. 9. 18.] [법률 제21474호,2026. 3. 17., 제정]",제3조 위원회의 설치 및 기능
1353,"청년고용촉진 특별법[시행2026. 9. 18.] [법률 제21477호,2026. 3. 17., 일부개정]",제5조 제2장 청년 미취업자에 대한 고용 확대 및 직업 지도 등
1354,"청년고용촉진 특별법[시행2026. 9. 18.] [법률 제21477호,2026. 3. 17., 일부개정]",제9조 청년 미취업자 등에 대한 직업능력개발훈련의 기본원칙
1355,"청년고용촉진 특별법[시행2026. 9. 18.] [법률 제21477호,2026. 3. 17., 일부개정]",제16조 통합인력전산망의 설치
1356,"청년고용촉진 특별법[시행2026. 9. 18.] [법률 제21477호,2026. 3. 17., 일부개정]",제17조의2 제5장 보칙
1357,"청년고용촉진 특별법[시행2026. 9. 18.] [법률 제21477호,2026. 3. 17., 일부개정]",제3조 국가 및 지방자치단체 등의 책무
1358,"청년고용촉진 특별법[시행2026. 9. 18.] [법률 제21477호,2026. 3. 17., 일부개정]",제8조의4 취업에 어려움을 겪는 청년에 대한 고용지원서비스 제공
1359,"청년고용촉진 특별법[시행2026. 9. 18.] [법률 제21477호,2026. 3. 17., 일부개정]",제16조의2 전문인력 양성
1360,"공무직위원회 설치 및 운영에 관한 법률[시행2026. 9. 18.] [법률 제21474호,2026. 3. 17., 제정]",제10조 기획단
1361,"청년고용촉진 특별법[시행2026. 9. 18.] [법률 제21477호,2026. 3. 17., 일부개정]",제1조 제1장 총칙
1362,"청년고용촉진 특별법[시행2026. 9. 18.] [법률 제21477호,2026. 3. 17., 일부개정]",제17조 군 복무 중인 자에 대한 취업기회 부여
1363,"공무직위원회 설치 및 운영에 관한 법률[시행2026. 9. 18.] [법률 제21474호,2026. 3. 17., 제정]",제1조 목적
1364,"청년고용촉진 특별법[시행2026. 9. 18.] [법률 제21477호,2026. 3. 17., 일부개정]",제7조 중소기업체의 청년 미취업자 고용 지원
1365,"청년고용촉진 특별법[시행2026. 9. 18.] [법률 제21477호,2026. 3. 18., 일부개정]",제14조 청년 미취업자의 취업실태 및 지원계획 공표
1366,"청년고용촉진 특별법[시행2026. 9. 18.] [법률 제21477호,2026. 3. 19., 일부개정]",제18조 보고 및 검사
1367,"청년고용촉진 특별법[시행2026. 9. 18.] [법률 제21477호,2026. 3. 20., 일부개정]",제4조 청년고용촉진특별위원회 설치 등
1368,"청년고용촉진 특별법[시행2026. 9. 18.] [법률 제21477호,2026. 3. 21., 일부개정]",제13조 청년 미취업자 등의 직업능력개발훈련계획 수립 등
1369,"공무직위원회 설치 및 운영에 관한 법률[시행2026. 9. 18.] [법률 제21474호,2026. 3. 17., 제정]",제5조 위원의 임기
1370,"청년고용촉진 특별법[시행2026. 9. 18.] [법률 제21477호,2026. 3. 17., 일부개정]",제1조 목적
1371,"청년고용촉진 특별법[시행2026. 9. 18.] [법률 제21477호,2026. 3. 17., 일부개정]",제8조 청년 미취업자 고용 확대 계획의 수립 등
1372,"청년고용촉진 특별법[시행2026. 9. 18.] [법률 제21477호,2026. 3. 17., 일부개정]",제12조 글로벌인재 양성사업 및 협력체계
1373,"공무직위원회 설치 및 운영에 관한 법률[시행2026. 9. 18.] [법률 제21474호,2026. 3. 17., 제정]",제6조 위원의 해촉
1374,"공무직위원회 설치 및 운영에 관한 법률[시행2026. 9. 18.] [법률 제21474호,2026. 3. 17., 제정]",제12조 관계 기관 등에 대한 협조 요청 등
1375,"청년고용촉진 특별법[시행2026. 9. 18.] [법률 제21477호,2026. 3. 17., 일부개정]",제9조 제3장 청년미취업자 등에 대한 직업능력개발훈련
1376,"청년고용촉진 특별법[시행2026. 9. 18.] [법률 제21477호,2026. 3. 17., 일부개정]",제17조의2 업무의 위탁
1377,"공무직위원회 설치 및 운영에 관한 법률[시행2026. 9. 18.] [법률 제21474호,2026. 3. 17., 제정]",제2조 정의
1378,"공무직위원회 설치 및 운영에 관한 법률[시행2026. 9. 18.] [법률 제21474호,2026. 3. 17., 제정]",제14조 존속기한
1379,"청년고용촉진 특별법[시행2026. 9. 18.] [법률 제21477호,2026. 3. 17., 일부개정]",제2조 정의
1380,"청년고용촉진 특별법[시행2026. 9. 18.] [법률 제21477호,2026. 3. 17., 일부개정]",제11조 중소기업체의 공동 직업능력개발훈련 지원
1381,"공무직위원회 설치 및 운영에 관한 법률[시행2026. 9. 18.] [법률 제21474호,2026. 3. 17., 제정]",제9조 공무직발전협의회
1382,"청년고용촉진 특별법[시행2026. 9. 18.] [법률 제21477호,2026. 3. 17., 일부개정]",제8조의2 청년에 대한 직장체험 기회 제공
1383,"청년고용촉진 특별법[시행2026. 9. 18.] [법률 제21477호,2026. 3. 17., 일부개정]",제15조 
1384,"공무직위원회 설치 및 운영에 관한 법률[시행2026. 9. 18.] [법률 제21474호,2026. 3. 17., 제정]",제4조 위원회의 구성 등
1385,"공무직위원회 설치 및 운영에 관한 법률[시행2026. 9. 18.] [법률 제21474호,2026. 3. 18., 제정]",제13조 수당 등
1386,"청년고용촉진 특별법[시행2026. 9. 18.] [법률 제21477호,2026. 3. 17., 일부개정]",제8조의3 직업지도 프로그램의 개발ㆍ운영 및 제공
1387,"청년고용촉진 특별법[시행2026. 9. 18.] [법률 제21477호,2026. 3. 18., 일부개정]",제10조 기업 또는 민간 직업훈련기관의 직업능력개발훈련 지원
1388,"청년고용촉진 특별법[시행2026. 9. 18.] [법률 제21477호,2026. 3. 19., 일부개정]",제19조 과태료
1389,"공무직위원회 설치 및 운영에 관한 법률[시행2026. 9. 18.] [법률 제21474호,2026. 3. 17., 제정]",제7조 위원장의 직무
1390,"청년고용촉진 특별법[시행2026. 9. 18.] [법률 제21477호,2026. 3. 17., 일부개정]",제6조 국민생활안정 관련 공공부문에서의 청년 미취업자 고용 확대
1391,"청년고용촉진 특별법[시행2026. 9. 18.] [법률 제21477호,2026. 3. 17., 일부개정]",제14조 제4장 정부의 행정지원체계
1392,"노동감독관 직무집행법[시행2026. 12. 8.] [법률 제21534호,2026. 4. 7., 제정]",제1조 제1장 총칙
1393,"노동감독관 직무집행법[시행2026. 12. 8.] [법률 제21534호,2026. 4. 8., 제정]",제18조 감독결과 조치
1394,"노동감독관 직무집행법[시행2026. 12. 8.] [법률 제21534호,2026. 4. 9., 제정]",제27조 사건의 송치
1395,"노동감독관 직무집행법[시행2026. 12. 8.] [법률 제21534호,2026. 4. 10., 제정]",제37조 노동감독관의 보호와 지원
1396,"노동감독관 직무집행법[시행2026. 12. 8.] [법률 제21534호,2026. 4. 11., 제정]",제10조 출석요구
1397,"노동감독관 직무집행법[시행2026. 12. 8.] [법률 제21534호,2026. 4. 12., 제정]",제19조 연례보고서 발간
1398,"노동감독관 직무집행법[시행2026. 12. 8.] [법률 제21534호,2026. 4. 13., 제정]",제28조 권한의 위임과 지방노동감독관
1399,"노동감독관 직무집행법[시행2026. 12. 8.] [법률 제21534호,2026. 4. 14., 제정]",제35조 노동감독관에 대한 교육
1400,"노동감독관 직무집행법[시행2026. 12. 8.] [법률 제21534호,2026. 4. 15., 제정]",제4조 지방자치단체의 책무
1401,"노동감독관 직무집행법[시행2026. 12. 8.] [법률 제21534호,2026. 4. 16., 제정]",제14조 비밀준수 의무
1402,"노동감독관 직무집행법[시행2026. 12. 8.] [법률 제21534호,2026. 4. 17., 제정]",제24조 제5장 사법경찰관의 직무
1403,"노동감독관 직무집행법[시행2026. 12. 8.] [법률 제21534호,2026. 4. 18., 제정]",제35조 제7장 노동감독관의 지원과 역량 강화
1404,"노동감독관 직무집행법[시행2026. 12. 8.] [법률 제21534호,2026. 4. 19., 제정]",제38조 노동정보시스템의 구축
1405,"노동감독관 직무집행법[시행2026. 12. 8.] [법률 제21534호,2026. 4. 20., 제정]",제6조 중앙노동감독관
1406,"노동감독관 직무집행법[시행2026. 12. 8.] [법률 제21534호,2026. 4. 21., 제정]",제12조 개인정보 등의 처리
