일상용어 일련번호,일상용어,비고내용,출처,등록일시,수정일시
154457,도서관발전계획,,,2023-01-16,
154459,도서관비전,,,2023-01-16,
154467,문예진흥기금,,,2023-01-16,
154469,한국문화예술위원회,,,2023-01-16,
154471,문화재예방관리사업,,,2023-01-16,
154473,연맹,,,2023-01-16,
154475,국중도,,,2023-01-16,2023-03-15
154477,중앙도서관,,,2023-01-16,2023-01-16
154485,도서관연구소,,,2023-01-16,2023-01-16
154487,국회전자도서관,,,2023-01-16,
154489,차임증감청구권,,,2023-01-16,
154491,품질경영체제인증기준,,,2023-01-16,
154493,의회도서관,,,2023-01-16,
154495,국가서지,,,2023-01-16,
154497,개정증보판,,,2023-01-16,
154499,개정판,,,2023-01-16,
154507,맞계약,,,2023-01-16,2023-05-28
154509,자연우주물체,,,2023-01-16,2023-06-10
154511,국제표준연속간행물번호,,,2023-01-16,
154513,갱신요구권,,,2023-01-16,
154515,도서관서비스전략,,,2023-01-16,
154517,도서관운영방안,,,2023-01-16,
154519,위성정보활용계획,,,2023-01-16,2023-05-01
154521,우주위원회,,,2023-01-16,
154523,우주사업,,,2023-01-16,
154531,디지털정보격차,,,2023-01-16,
154533,디지털디바이드,,,2023-01-16,
154537,부단체장,,,2023-01-16,
154539,출석의원,,,2023-01-16,
154541,행정부시장,,,2023-01-16,2023-01-16
154543,정무부시장,,,2023-01-16,
154545,행정부지사,,,2023-01-16,
154547,정무부지사,,,2023-01-16,
154551,취약,,,2023-01-16,
154553,실생활,,,2023-01-16,
154555,책바다,,,2023-01-16,
154557,책바다서비스,,,2023-01-16,
154559,공공도서관,,,2023-01-16,2023-02-04
154561,관내상호대차,,,2023-01-16,
154563,도서관운영,,,2023-01-16,2023-08-30
154567,도서관자료종류,,,2023-01-16,
154569,장서구성원칙,,,2023-01-16,
154571,비치도서수,,,2023-01-16,
154579,복합매체,,,2023-01-16,
154581,시청각기록물,,,2023-01-16,
154583,디지털정보,,,2023-01-16,
154585,활용체계,,,2023-01-16,2023-09-01
154587,소리책나눔터,,,2023-01-16,
154597,txt,,,2023-01-16,2023-01-16
154599,doc,,,2023-01-16,2023-01-16
154601,hwp,,,2023-01-16,2023-01-16
154603,일시집행,,,2023-01-16,
154605,공동원고,,,2023-01-16,
154607,변제증명서,,,2023-01-16,
154609,명부기재,,,2023-01-16,
154611,집행방식,,,2023-01-16,
154613,경매절차개시,,,2023-01-16,
154615,경매철회,,,2023-01-16,
154617,총괄매각,,,2023-01-16,
154619,매각요건,,,2023-01-16,
154621,최하매각가격,,,2023-01-16,
154623,지님,,,2023-01-16,
154627,동일취급,,,2023-01-17,
154629,중재업,,,2023-01-17,
154631,중재장소,,,2023-01-17,2023-07-12
154633,싱글족,,,2023-01-17,
154635,학력사항,,,2023-01-17,
154637,교육과목,,,2023-01-17,2023-08-21
154639,학과과정,,,2023-01-17,2023-05-12
154641,직업종류,,,2023-01-17,
154643,미가입,,,2023-01-17,
154645,재직연수,,,2023-01-17,
154647,경력연수,,,2023-01-17,
154649,국제통화기구,,,2023-01-17,
154651,입법기관,,,2023-01-17,
154653,국회의사당,,,2023-01-17,
154655,외교통상부,,,2023-01-17,
154657,외무성,,,2023-01-17,
154659,외통부,,,2023-01-17,
154661,외교부청사,,,2023-01-17,
154663,황금,,,2023-01-17,2023-03-06
154665,본관,,,2023-01-17,2023-07-12
154667,정한연령,,,2023-01-17,
154671,승마,,,2023-01-17,
154673,애장,,,2023-01-17,
154675,암초,,,2023-01-17,2023-01-30
154677,불법감청,,,2023-01-17,
154679,추가등록,,,2023-01-17,
154681,비닉,,,2023-01-17,
154683,알선수재,,,2023-01-17,2023-01-30
154685,대통령관저,,,2023-01-17,
154687,지방행정구역,,,2023-01-17,2023-05-30
154689,단체교섭회,,,2023-01-17,
154691,특별검사후보추천위원회,,,2023-01-17,
154693,유가증권매출,,,2023-01-17,
154695,유니폼,,,2023-01-17,2023-05-31
154697,무상대출,,,2023-01-17,
154699,위임기간,,,2023-01-17,
154701,위임개발,,,2023-01-17,
154703,수탁개발,,,2023-01-17,
154705,귀속방식,,,2023-01-17,
